"Accessories","11","7","5","19","23"
"Active Life","70","43","52","102","334"
"Acupuncture","3","2","0","0","18"
"Adult Education","1","0","2","2","5"
"Adult Entertainment","1","0","3","7","12"
"Adult","1","0","0","0","4"
"Advertising","0","0","0","0","6"
"African","3","2","2","4","2"
"Air Duct Cleaning","2","0","2","2","17"
"Airlines","5","0","0","0","1"
"Airport Shuttles","16","0","1","11","48"
"Airports","9","2","2","2","2"
"Amateur Sports Teams","3","1","1","2","1"
"American (New)","296","439","800","1635","1717"
"American (Traditional)","413","441","876","1691","1705"
"Amusement Parks","1","2","2","4","16"
"Animal Shelters","3","0","0","0","8"
"Antiques","20","30","50","103","139"
"Apartments","84","22","11","30","48"
"Appliances & Repair","1","5","2","6","15"
"Appliances","21","15","4","10","20"
"Arcades","3","4","6","7","6"
"Architects","4","4","10","77","128"
"Architectural Tours","4","4","10","77","128"
"Argentine","1","0","1","2","5"
"Armenian","14","7","17","22","33"
"Art Classes","0","0","0","0","4"
"Art Galleries","6","1","2","6","23"
"Art Schools","0","0","0","0","4"
"Art Supplies","1","3","2","16","25"
"Artificial Turf","2","1","0","0","3"
"Arts & Crafts","7","5","10","30","85"
"Arts & Entertainment","66","32","78","193","378"
"Asian Fusion","39","49","70","104","142"
"Auto Customization","1","0","0","0","4"
"Auto Detailing","40","23","18","43","105"
"Auto Glass Services","61","12","9","18","52"
"Auto Insurance","3","0","0","1","27"
"Auto Loan Providers","3","0","0","1","2"
"Auto Parts & Supplies","12","2","2","10","84"
"Auto Repair","122","25","22","45","346"
"Automotive","404","74","58","143","815"
"Baby Gear & Furniture","3","0","3","4","42"
"Bagels","6","10","6","17","29"
"Bakeries","71","34","77","188","273"
"Banks & Credit Unions","4","0","0","3","8"
"Bar Crawl","0","0","0","5","35"
"Barbeque","103","88","91","224","176"
"Barbers","37","7","7","24","129"
"Barre Classes","0","0","0","0","10"
"Bars","519","560","994","1927","1961"
"Basketball Courts","1","1","1","2","0"
"Battery Stores","4","0","0","0","2"
"Beauty & Spas","216","72","80","200","1037"
"Beer Bar","3","3","6","4","12"
"Beer Gardens","3","3","6","4","12"
"Beer","7","12","15","84","314"
"Belgian","1","0","3","2","7"
"Bike Repair/Maintenance","2","0","0","2","16"
"Bikes","4","3","4","4","17"
"Blood & Plasma Donation Centers","0","1","0","2","2"
"Blow Dry/Out Services","6","7","5","8","38"
"Body Shops","34","12","16","21","167"
"Books","5","6","5","19","41"
"Bookstores","2","4","3","15","39"
"Boot Camps","10","2","0","2","64"
"Bowling","3","0","2","4","4"
"Boxing","0","0","0","1","3"
"Brazilian","5","1","2","1","0"
"Breakfast & Brunch","113","131","202","387","410"
"Breweries","0","0","1","8","9"
"Bridal","2","3","1","4","26"
"British","5","10","26","36","28"
"Bubble Tea","1","5","3","1","1"
"Buffets","38","49","86","125","131"
"Building Supplies","2","4","1","5","17"
"Burgers","267","348","720","1469","1441"
"Business Consulting","0","0","0","0","14"
"Butcher","0","1","0","0","2"
"CPR Classes","0","0","0","0","4"
"Cabaret","0","0","0","2","8"
"Cafes","21","18","77","238","385"
"Cajun/Creole","62","42","29","40","58"
"Campgrounds","0","0","0","0","4"
"Canadian (New)","39","50","68","55","43"
"Candy Stores","3","4","8","47","141"
"Cannabis Clinics","4","2","1","3","3"
"Car Buyers","3","1","1","6","7"
"Car Dealers","98","21","15","32","262"
